Selena Gomez,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,0C8ZW7ezQVs4URX5aX7Kqx,86,954604
Bridgit Mendler,spotify:artist:4VhL8KLjVso4vLfOLVViTb,4VhL8KLjVso4vLfOLVViTb,66,268132
Nick Jonas,spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi,4Rxn7Im3LGfyRkY2FlHhWi,83,219379
Cody Simpson,spotify:artist:79Xp2rRN7wdsaTJgttdX3K,79Xp2rRN7wdsaTJgttdX3K,75,279051
Demi Lovato,spotify:artist:6S2OmqARrzebs0tKUEyXyp,6S2OmqARrzebs0tKUEyXyp,84,1292446
Victoria Justice,spotify:artist:2OTfr6S2kuHRYStjt1IkY6,2OTfr6S2kuHRYStjt1IkY6,62,51175
Zendaya,spotify:artist:6sCbFbEjbYepqswM1vWjjs,6sCbFbEjbYepqswM1vWjjs,67,188796
Victorious Cast,spotify:artist:1KYszkVzlhV3rAqmAcYIgd,1KYszkVzlhV3rAqmAcYIgd,62,124897
Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6,5YGY8feqx7naU7z4HrwZM6,84,1285045
Emily Osment,spotify:artist:7rPQ2z1ji1ctJ6oGYBAo6M,7rPQ2z1ji1ctJ6oGYBAo6M,48,46297
Miranda Cosgrove,spotify:artist:3SYGWAHCe31oykdeUPpoJp,3SYGWAHCe31oykdeUPpoJp,53,66104
Fifth Harmony,spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt,1l8Fu6IkuTP0U5QetQJ5Xt,86,396935
Selena Gomez & The Scene,spotify:artist:6dJeKm76NjfXBNTpHmOhfO,6dJeKm76NjfXBNTpHmOhfO,71,132517
78violet,spotify:artist:5GADIJpXAjArLQXb0NXXWZ,5GADIJpXAjArLQXb0NXXWZ,28,3357
One Direction,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,4AK6F7OLvEQ5QYCBNiQWHq,92,3168058
Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,89,2481081
Jennette McCurdy,spotify:artist:3AoFRPmkjP1WTi2Zu7gbZV,3AoFRPmkjP1WTi2Zu7gbZV,41,24961
Rebecca Black,spotify:artist:3Vl9fyKMIdLMswk8ai3mm9,3Vl9fyKMIdLMswk8ai3mm9,46,10136
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,75,2900630
Carrie Underwood,spotify:artist:4xFUf1FHVy696Q1JQZMTRj,4xFUf1FHVy696Q1JQZMTRj,78,539177
Kelly Clarkson,spotify:artist:3BmGtnKgCSGYIUhmivXKWX,3BmGtnKgCSGYIUhmivXKWX,86,965454
Katy Perry,spotify:artist:6jJ0s89eD6GaHleKKya26X,6jJ0s89eD6GaHleKKya26X,89,3531106
The Wreckers,spotify:artist:2jI32eTOcSx2bn1MGgRyei,2jI32eTOcSx2bn1MGgRyei,55,13337
Lady Antebellum,spotify:artist:32WkQRZEVKSzVAAYqukAEA,32WkQRZEVKSzVAAYqukAEA,76,693961
Avril Lavigne,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,0p4nmQO2msCgU4IF37Wi3j,79,781287
Shania Twain,spotify:artist:5e4Dhzv426EvQe3aDb64jL,5e4Dhzv426EvQe3aDb64jL,73,173875
Miranda Lambert,spotify:artist:66lH4jAE7pqPlOlzUKbwA0,66lH4jAE7pqPlOlzUKbwA0,76,384841
Jessie James,spotify:artist:2oPXxg1IOzTBPDro5cJBJj,2oPXxg1IOzTBPDro5cJBJj,49,14143
Kellie Pickler,spotify:artist:021hNAnkFIbyFyL97br6NB,021hNAnkFIbyFyL97br6NB,54,38065
LeAnn Rimes,spotify:artist:2d3VHzlOEwXvmBdS4pzOPL,2d3VHzlOEwXvmBdS4pzOPL,64,42882
Hilary Duff,spotify:artist:2S9W9aSAd7e5mp8WqWxN2h,2S9W9aSAd7e5mp8WqWxN2h,66,121438
Faith Hill,spotify:artist:25NQNriVT2YbSW80ILRWJa,25NQNriVT2YbSW80ILRWJa,67,74463
Dixie Chicks,spotify:artist:25IG9fa7cbdmCIy3OnuH57,25IG9fa7cbdmCIy3OnuH57,69,144725
Ashley Tisdale,spotify:artist:2ddxtfC0oS8LoktXUHE7YL,2ddxtfC0oS8LoktXUHE7YL,58,67874
Jonas Brothers,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,7gOdHgIoIKoe4i9Tta6qdD,68,189149
Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI,2wY79sveU1sp5g7SokKOiI,96,1408167
Sia,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,5WUlDfRSoLAfcVSX1WnrxN,93,862524
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,6eUKZXaKkcviH0Ku9w2n3V,97,3798277
Magic!,spotify:artist:0DxeaLnv6SyYk2DOqkLO8c,0DxeaLnv6SyYk2DOqkLO8c,82,296419
Ella Henderson,spotify:artist:7nDsS0l5ZAzMedVRKPP8F1,7nDsS0l5ZAzMedVRKPP8F1,80,121034
John Newman,spotify:artist:34v5MVKeQnIo0CWYMbbrPf,34v5MVKeQnIo0CWYMbbrPf,84,233288
