Connected to tuneTrend.
BEGINNING CALCULATIONS!
DONE WITH CALCULATIONS!
BEGINNING ANALYSIS! 


Average derivative of average song popularity: -0.109547931007

Big Movers Positive: 	 One Like That - feat. Deb & Gerald Sebastian by: Gwen Sebastian with avg. popularity derivative: 0.333333333333
Big Movers Positive: 	 Shadow by: Ashlee Simpson with avg. popularity derivative: 0.25
Big Movers Positive: 	 Come & Get It by: Selena Gomez with avg. popularity derivative: 0.25
Big Movers Positive: 	 Parade by: Audio Push with avg. popularity derivative: 0.25
Big Movers Positive: 	 4 Digits by: Eric Bellinger with avg. popularity derivative: 0.25
Big Movers Positive: 	 Run by: Snow Patrol with avg. popularity derivative: 0.25
Big Movers Positive: 	 Love You Like A Love Song by: Selena Gomez & The Scene with avg. popularity derivative: 0.25
Big Movers Positive: 	 End of the World (feat. Anth) by: Before You Exit with avg. popularity derivative: 0.25
Big Movers Positive: 	 Save The Day by: OB OBrien with avg. popularity derivative: 0.25
Big Movers Positive: 	 Another Love - Live from Spotify (SXSW) by: Tom Odell with avg. popularity derivative: 0.25
Big Movers Positive: 	 Can't Stop (feat. Kanye West) by: Theophilus London with avg. popularity derivative: 0.25
Big Movers Positive: 	 I Love You (album version) by: Blaxtar with avg. popularity derivative: 0.25
Big Movers Positive: 	 Something New - Amtrac Remix by: Sebastian Ingrosso with avg. popularity derivative: 0.25
Big Movers Positive: 	 One Day by: Kodaline with avg. popularity derivative: 0.25
Big Movers Positive: 	 Take Me to Church - Hozier Cover by: Neon Jungle with avg. popularity derivative: 0.25
Big Movers Positive: 	 Soul Vibration by: On The Rocks with avg. popularity derivative: 0.25
Big Movers Positive: 	 Lay Low by: Josh Turner with avg. popularity derivative: 0.25
Big Movers Positive: 	 (How Could You) Bring Him Home - Main Version - Explicit by: Eamon with avg. popularity derivative: 0.25
Big Movers Positive: 	 Feel Your Love - Radio Edit by: LE YOUTH with avg. popularity derivative: 0.25
Big Movers Positive: 	 Hard Work by: Ella Henderson with avg. popularity derivative: 0.25
Big Movers Positive: 	 Pro Nails (feat. Kanye West) [Rusko Remix] - Rusko Remix by: Kid Sister with avg. popularity derivative: 0.25
Big Movers Positive: 	 Testimony by: L-T Terror with avg. popularity derivative: 0.25
Big Movers Positive: 	 Paris (feat. Jordan Pruitt) by: Jordan Pruitt with avg. popularity derivative: 0.25
Big Movers Positive: 	 I Know - New World Sound Remix by: Shift K3Y with avg. popularity derivative: 0.25
Big Movers Positive: 	 Like That (feat. Skate) by: Jack & Jack with avg. popularity derivative: 0.25
Big Movers Positive: 	 If You Could See Me Now by: The Script with avg. popularity derivative: 0.25
Big Movers Positive: 	 What We Ain't Got by: Jake Owen with avg. popularity derivative: 0.25
Big Movers Positive: 	 White Winter Hymnal by: Foxes with avg. popularity derivative: 0.25
Big Movers Positive: 	 Problem by: Ariana Grande with avg. popularity derivative: 0.25
Big Movers Positive: 	 Shot At The Night by: The Killers with avg. popularity derivative: 0.25
Big Movers Positive: 	 Endless Summer by: Danielle Bradbery with avg. popularity derivative: 0.25
Big Movers Positive: 	 Burnin' Bridges by: Jessie James with avg. popularity derivative: 0.25
Big Movers Positive: 	 Chi (Need To Know) by: Angel Haze with avg. popularity derivative: 0.25
Big Movers Positive: 	 Change Your Life by: Far East Movement with avg. popularity derivative: 0.25
Big Movers Positive: 	 Lost Without U by: Robin Thicke with avg. popularity derivative: 0.25
Big Movers Positive: 	 Dough Boy by: Lil Mama with avg. popularity derivative: 0.25
Big Movers Positive: 	 I Will Never Be A Star by: Ylvis with avg. popularity derivative: 0.25
Big Movers Positive: 	 Turn Up The Love by: Far East Movement with avg. popularity derivative: 0.25
Big Movers Positive: 	 Mis Deseos/Feliz Navidad (Duet With Thalia) by: Thalia with avg. popularity derivative: 0.25
Big Movers Positive: 	 With You by: Sam Bailey with avg. popularity derivative: 0.25
Big Movers Positive: 	 Lost Stars - Into The Night Mix by: Adam Levine with avg. popularity derivative: 0.25
Big Movers Positive: 	 Kryptonite by: Rymez with avg. popularity derivative: 0.25
Big Movers Positive: 	 No Excuse (Yung Gud Remix) by: Jacques Greene with avg. popularity derivative: 0.25
Big Movers Positive: 	 Santa Tell Me by: Ariana Grande with avg. popularity derivative: 0.25
